"symbol","uniprot","ensembl","entrez","name","signature"
"PWWP3A","Q2TAK8","ENSG00000160953",84939,"PWWP domain-containing DNA repair factor 3A","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"GALR2","O43603","ENSG00000182687",8811,"Galanin receptor type 2","LowTmp-Mc"
"ASTN2","O75129","ENSG00000148219",23245,"Astrotactin-2","LowTmp-Mc"
"SIDT1","Q9NXL6","ENSG00000072858",54847,"SID1 transmembrane family member 1","LowTmp-Mc"
"C21orf58","P58505","ENSG00000160298",54058,"Uncharacterized protein C21orf58","LowTmp-Mc"
"PDGFRL","Q15198","ENSG00000104213",5157,"Platelet-derived growth factor receptor-like protein","LowTmp-Mc"
"ZNF630","Q2M218","ENSG00000221994",57232,"Zinc finger protein 630","LowTmp-Mc"
"NFE2L1","Q14494","ENSG00000082641",4779,"Endoplasmic reticulum membrane sensor NFE2L1","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"IGDCC4","Q8TDY8","ENSG00000103742",57722,"Immunoglobulin superfamily DCC subclass member 4","LowTmp-Mc"
"AHI1","Q8N157","ENSG00000135541",54806,"Jouberin","LowTmp-Mc"
"CALHM3","Q86XJ0","ENSG00000183128",119395,"Calcium homeostasis modulator protein 3","LowTmp-Mc"
"NARF","Q9UHQ1","ENSG00000141562",26502,"Nuclear prelamin A recognition factor","LowTmp-Mc"
"TOLLIP","Q9H0E2","ENSG00000078902",54472,"Toll-interacting protein","LowTmp-Mc"
"FAM184A","Q8NB25","ENSG00000111879",79632,"Protein FAM184A","LowTmp-Mc"
"TMEM26","Q6ZUK4","ENSG00000196932",219623,"Transmembrane protein 26","LowTmp-Mc"
"SETDB1","Q15047","ENSG00000143379",9869,"Histone-lysine N-methyltransferase SETDB1","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"SH2B1","Q9NRF2","ENSG00000178188",25970,"SH2B adapter protein 1","LowTmp-Mc"
"KRTCAP3","Q53RY4","ENSG00000157992",200634,"Keratinocyte-associated protein 3","LowTmp-Mc"
"APEH","P13798","ENSG00000164062",327,"Acylamino-acid-releasing enzyme","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"USP28","Q96RU2","ENSG00000048028",57646,"Ubiquitin carboxyl-terminal hydrolase 28","LowTmp-Mc"
"FRAS1","Q86XX4","ENSG00000138759",80144,"Extracellular matrix organizing protein FRAS1","LowTmp-Mc"
"LYPD1","Q8N2G4","ENSG00000150551",116372,"Ly6/PLAUR domain-containing protein 1","LowTmp-Mc"
"APAF1","O14727","ENSG00000120868",317,"Apoptotic protease-activating factor 1","LowTmp-Mc"
"ETFA","P13804","ENSG00000140374",2108,"Electron transfer flavoprotein subunit alpha, mitochondrial","LowTmp-Mc"
"SUPT20H","Q8NEM7","ENSG00000102710",55578,"Transcription factor SPT20 homolog","LowTmp-Mc"
"FMN2","Q9NZ56","ENSG00000155816",56776,"Formin-2","LowTmp-Mc"
"THNSL1","Q8IYQ7","ENSG00000185875",79896,"Threonine synthase-like 1","LowTmp-Mc"
"NMT1","P30419","ENSG00000136448",4836,"Glycylpeptide N-tetradecanoyltransferase 1","LowTmp-Mc"
"DNAJA3","Q96EY1","ENSG00000276726",9093,"DnaJ homolog subfamily A member 3, mitochondrial","LowTmp-Mc"
"DPY19L1","Q2PZI1","ENSG00000173852",23333,"Probable C-mannosyltransferase DPY19L1","LowTmp-Mc"
"PPP2R5D","Q14738","ENSG00000112640",5528,"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform","LowTmp-Mc"
"MYLK4","Q86YV6","ENSG00000145949",340156,"Myosin light chain kinase family member 4","LowTmp-Mc"
"MAP7D2","Q96T17","ENSG00000184368",256714,"MAP7 domain-containing protein 2","LowTmp-Mc"
"SLC33A1","O00400","ENSG00000169359",9197,"Acetyl-coenzyme A transporter 1","LowTmp-Mc"
"ZKSCAN1","P17029","ENSG00000106261",7586,"Zinc finger protein with KRAB and SCAN domains 1","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"MRPL57","Q9BQC6","ENSG00000173141",78988,"Ribosomal protein 63, mitochondrial","LowTmp-Mc"
"SMCO4","Q9NRQ5","ENSG00000166002",56935,"Single-pass membrane and coiled-coil domain-containing protein 4","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"CKAP5","Q14008","ENSG00000175216",9793,"Cytoskeleton-associated protein 5","LowTmp-Mc"
"NME3","Q13232","ENSG00000103024",4832,"Nucleoside diphosphate kinase 3","LowTmp-Mc"
"VWF","P04275","ENSG00000110799",7450,"von Willebrand factor","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"ALDH6A1","Q02252","ENSG00000119711",4329,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial","LowTmp-Mc"
"DCXR","Q7Z4W1","ENSG00000169738",51181,"L-xylulose reductase","LowTmp-Mc"
"DIPK1A","Q5T7M9","ENSG00000154511",388650,"Divergent protein kinase domain 1A","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"ADA","P00813","ENSG00000196839",100,"Adenosine deaminase","LowTmp-Mc"
"EDEM3","Q9BZQ6","ENSG00000116406",80267,"ER degradation-enhancing alpha-mannosidase-like protein 3","LowTmp-Mc"
"ATXN7L1","Q9ULK2","ENSG00000146776",222255,"Ataxin-7-like protein 1","LowTmp-Mc"
"TMEM150A","Q86TG1","ENSG00000168890",129303,"Transmembrane protein 150A","LowTmp-Mc"
"EFR3A","Q14156","ENSG00000132294",23167,"Protein EFR3 homolog A","LowTmp-Mc"
"ABHD6","Q9BV23","ENSG00000163686",57406,"Monoacylglycerol lipase ABHD6","LowTmp-Mc"
"GPSM2","P81274","ENSG00000121957",29899,"G-protein-signaling modulator 2","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"FAM89B","Q8N5H3","ENSG00000176973",23625,"Leucine repeat adapter protein 25","LowTmp-Mc"
"FAM174B","Q3ZCQ3","ENSG00000185442",400451,"Membrane protein FAM174B","LowTmp-Mc"
"HOOK2","Q96ED9","ENSG00000095066",29911,"Protein Hook homolog 2","LowTmp-Mc"
"MFSD10","Q14728","ENSG00000109736",10227,"Major facilitator superfamily domain-containing protein 10","LowTmp-Mc"
"KCNK13","Q9HB14","ENSG00000152315",56659,"Potassium channel subfamily K member 13","LowTmp-Mc"
"EIF5B","O60841","ENSG00000158417",9669,"Eukaryotic translation initiation factor 5B","LowTmp-Mc"
"VAMP8","Q9BV40","ENSG00000118640",8673,"Vesicle-associated membrane protein 8","LowTmp-Mc"
"VAT1","Q99536","ENSG00000108828",10493,"Synaptic vesicle membrane protein VAT-1 homolog","LowTmp-Mc"
"HSPA4L","O95757","ENSG00000164070",22824,"Heat shock 70 kDa protein 4L","LowTmp-Mc"
"KIAA0319L","Q8IZA0","ENSG00000142687",79932,"Dyslexia-associated protein KIAA0319-like protein","LowTmp-Mc"
"APOO","Q9BUR5","ENSG00000184831",79135,"MICOS complex subunit MIC26","LowTmp-Mc"
"NLGN2","Q8NFZ4","ENSG00000283859",57555,"Neuroligin-2","LowTmp-Mc"
"HDAC6","Q9UBN7","ENSG00000094631",10013,"Histone deacetylase 6","LowTmp-Mc"
"RNF146","Q9NTX7","ENSG00000118518",81847,"E3 ubiquitin-protein ligase RNF146","LowTmp-Mc"
"SLFNL1","Q499Z3","ENSG00000171790",200172,"Schlafen-like protein 1","LowTmp-Mc"
"THG1L","Q9NWX6","ENSG00000113272",54974,"Probable tRNA(His) guanylyltransferase","LowTmp-Mc"
"TGFBI","Q15582","ENSG00000120708",7045,"Transforming growth factor-beta-induced protein ig-h3","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"RBCK1","Q9BYM8","ENSG00000125826",10616,"RanBP-type and C3HC4-type zinc finger-containing protein 1","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"TUT4","Q5TAX3","ENSG00000134744",23318,"Terminal uridylyltransferase 4","LowTmp-Mc"
"BEND6","Q5SZJ8","ENSG00000151917",221336,"BEN domain-containing protein 6","LowTmp-Mc"
"LARP4","Q71RC2","ENSG00000161813",113251,"La-related protein 4","LowTmp-Mc"
"CEP104","O60308","ENSG00000116198",9731,"Centrosomal protein of 104 kDa","LowTmp-Mc"
"RFX1","P22670","ENSG00000288283",5989,"MHC class II regulatory factor RFX1","LowTmp-Mc"
"ACSF2","Q96CM8","ENSG00000167107",80221,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial","LowTmp-Mc"
"CDK14","O94921","ENSG00000058091",5218,"Cyclin-dependent kinase 14","LowTmp-Mc"
"TRIM25","Q14258","ENSG00000121060",7706,"E3 ubiquitin/ISG15 ligase TRIM25","LowTmp-Mc"
"MRPL48","Q96GC5","ENSG00000175581",51642,"39S ribosomal protein L48, mitochondrial","LowTmp-Mc"
"GPI","P06744","ENSG00000105220",2821,"Glucose-6-phosphate isomerase","LowTmp-Mc"
"TNFSF10","P50591","ENSG00000121858",8743,"Tumor necrosis factor ligand superfamily member 10","LowTmp-Mc"
"NGF","P01138","ENSG00000134259",4803,"Beta-nerve growth factor","LowTmp-Mc"
"DNAL4","O96015","ENSG00000100246",10126,"Dynein axonemal light chain 4","LowTmp-Mc"
"NUDT9","Q9BW91","ENSG00000170502",53343,"ADP-ribose pyrophosphatase, mitochondrial","LowTmp-Mc"
"WDR19","Q8NEZ3","ENSG00000157796",57728,"WD repeat-containing protein 19","LowTmp-Mc"
"PABPN1","Q86U42","ENSG00000100836",8106,"Polyadenylate-binding protein 2","LowTmp-Mc"
"CRYGS","P22914","ENSG00000213139",1427,"Gamma-crystallin S","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"TFB1M","Q8WVM0","ENSG00000029639",51106,"Dimethyladenosine transferase 1, mitochondrial","LowTmp-Mc"
"MTARC1","Q5VT66","ENSG00000186205",64757,"Mitochondrial amidoxime-reducing component 1","LowTmp-Mc"
"TMEM132A","Q24JP5","ENSG00000006118",54972,"Transmembrane protein 132A","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"NAV2","Q8IVL1","ENSG00000166833",89797,"Neuron navigator 2","LowTmp-Mc"
"KCTD12","Q96CX2","ENSG00000178695",115207,"BTB/POZ domain-containing protein KCTD12","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"CDC26","Q8NHZ8","ENSG00000176386",246184,"Anaphase-promoting complex subunit CDC26","LowTmp-Mc"
"ZNF175","Q9Y473","ENSG00000105497",7728,"Zinc finger protein 175","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"GPR137B","O60478","ENSG00000077585",7107,"Integral membrane protein GPR137B","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"B4GAT1","O43505","ENSG00000174684",11041,"Beta-1,4-glucuronyltransferase 1","LowTmp-Mc"
"TMEM44","Q2T9K0","ENSG00000145014",93109,"Transmembrane protein 44","LowTmp-Mc"
"CEMIP2","Q9UHN6","ENSG00000135048",23670,"Cell surface hyaluronidase","LowTmp-Mc"
"FKBP3","Q00688","ENSG00000100442",2287,"Peptidyl-prolyl cis-trans isomerase FKBP3","LowTmp-Mc"
"MCTS1","Q9ULC4","ENSG00000288295",28985,"Malignant T-cell-amplified sequence 1","LowTmp-Mc"
"UBQLN4","Q9NRR5","ENSG00000160803",56893,"Ubiquilin-4","LowTmp-Mc"
"PCSK9","Q8NBP7","ENSG00000169174",255738,"Proprotein convertase subtilisin/kexin type 9","LowTmp-Mc"
"TMCO3","Q6UWJ1","ENSG00000150403",55002,"Transmembrane and coiled-coil domain-containing protein 3","LowTmp-Mc"
"EXOC2","Q96KP1","ENSG00000112685",55770,"Exocyst complex component 2","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"BNIPL","Q7Z465","ENSG00000163141",149428,"Bcl-2/adenovirus E1B 19 kDa-interacting protein 2-like protein","LowTmp-Mc"
"ZCCHC7","Q8N3Z6","ENSG00000147905",84186,"Zinc finger CCHC domain-containing protein 7","LowTmp-Mc"
"TMEM71","Q6P5X7","ENSG00000165071",137835,"Transmembrane protein 71","LowTmp-Mc"
"GALK1","P51570","ENSG00000108479",2584,"Galactokinase","LowTmp-Mc"
"MYO9A","B2RTY4","ENSG00000066933",4649,"Unconventional myosin-IXa","LowTmp-Mc"
"SNX3","O60493","ENSG00000112335",8724,"Sorting nexin-3","LowTmp-Mc"
"RHOT1","Q8IXI2","ENSG00000126858",55288,"Mitochondrial Rho GTPase 1","LowTmp-Mc"
"BANP","Q8N9N5","ENSG00000172530",54971,"Protein BANP","LowTmp-Mc"
"NONO","Q15233","ENSG00000147140",4841,"Non-POU domain-containing octamer-binding protein","LowTmp-Mc"
"CHM","P24386","ENSG00000188419",1121,"Rab proteins geranylgeranyltransferase component A 1","LowTmp-Mc"
"SPIN3","Q5JUX0","ENSG00000204271",169981,"Spindlin-3","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"PTPN6","P29350","ENSG00000111679",5777,"Tyrosine-protein phosphatase non-receptor type 6","LowTmp-Mc"
"GMPPA","Q96IJ6","ENSG00000144591",29926,"Mannose-1-phosphate guanyltransferase alpha","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"LYPD5","Q6UWN5","ENSG00000159871",284348,"Ly6/PLAUR domain-containing protein 5","LowTmp-Mc"
"PAN2","Q504Q3","ENSG00000135473",9924,"PAN2-PAN3 deadenylation complex catalytic subunit PAN2","LowTmp-Mc"
"LRPPRC","P42704","ENSG00000138095",10128,"Leucine-rich PPR motif-containing protein, mitochondrial","LowTmp-Mc"
"BRWD3","Q6RI45","ENSG00000165288",254065,"Bromodomain and WD repeat-containing protein 3","LowTmp-Mc"
"PSMB2","P49721","ENSG00000126067",5690,"Proteasome subunit beta type-2","LowTmp-Mc"
"GTF3C2","Q8WUA4","ENSG00000115207",2976,"General transcription factor 3C polypeptide 2","LowTmp-Mc"
"RTN2","O75298","ENSG00000125744",6253,"Reticulon-2","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"ZCWPW1","Q9H0M4","ENSG00000078487",55063,"Zinc finger CW-type PWWP domain protein 1","LowTmp-Mc"
"CYP4V2","Q6ZWL3","ENSG00000145476",285440,"Cytochrome P450 4V2","LowTmp-Mc"
"NRBP2","Q9NSY0","ENSG00000185189",340371,"Nuclear receptor-binding protein 2","LowTmp-Mc"
"PARP10","Q53GL7","ENSG00000178685",84875,"Protein mono-ADP-ribosyltransferase PARP10","LowTmp-Mc"
"BTRC","Q9Y297","ENSG00000166167",8945,"F-box/WD repeat-containing protein 1A","LowTmp-Mc"
"ANKRD37","Q7Z713","ENSG00000186352",353322,"Ankyrin repeat domain-containing protein 37","LowTmp-Mc"
"ZSCAN18","Q8TBC5","ENSG00000121413",65982,"Zinc finger and SCAN domain-containing protein 18","LowTmp-Mc"
"TRIM56","Q9BRZ2","ENSG00000169871",81844,"E3 ubiquitin-protein ligase TRIM56","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"G2E3","Q7L622","ENSG00000092140",55632,"G2/M phase-specific E3 ubiquitin-protein ligase","LowTmp-Mc"
"FITM2","Q8N6M3","ENSG00000197296",128486,"Acyl-coenzyme A diphosphatase FITM2","LowTmp-Mc"
"POT1","Q9NUX5","ENSG00000128513",25913,"Protection of telomeres protein 1","LowTmp-Mc"
"TDRD5","Q8NAT2","ENSG00000162782",163589,"Tudor domain-containing protein 5","LowTmp-Mc"
"CCDC88A","Q3V6T2","ENSG00000115355",55704,"Girdin","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"PSME3IP1","Q9GZU8","ENSG00000172775",80011,"PSME3-interacting protein","LowTmp-Mc"
"TMEM42","Q69YG0","ENSG00000280516",131616,"Transmembrane protein 42","LowTmp-Mc"
"ZNF75D","P51815","ENSG00000186376",7626,"Zinc finger protein 75D","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"TUFM","P49411","ENSG00000178952",7284,"Elongation factor Tu, mitochondrial","LowTmp-Mc"
"HSPE1","P61604","ENSG00000115541",3336,"10 kDa heat shock protein, mitochondrial","LowTmp-Mc"
"RGL2","O15211","ENSG00000237825",5863,"Ral guanine nucleotide dissociation stimulator-like 2","LowTmp-Mc"
"GPT","P24298","ENSG00000167701",2875,"Alanine aminotransferase 1","LowTmp-Mc"
"TTLL12","Q14166","ENSG00000100304",23170,"Tubulin--tyrosine ligase-like protein 12","LowTmp-Mc"
"WRAP73","Q9P2S5","ENSG00000116213",49856,"WD repeat-containing protein WRAP73","LowTmp-Mc"
"COMTD1","Q86VU5","ENSG00000165644",118881,"Catechol O-methyltransferase domain-containing protein 1","LowTmp-Mc"
"CATSPER2","Q96P56","ENSG00000166762",117155,"Cation channel sperm-associated protein 2","LowTmp-Mc"
"MRPL45","Q9BRJ2","ENSG00000277936",84311,"39S ribosomal protein L45, mitochondrial","LowTmp-Mc"
"KIAA0513","O60268","ENSG00000135709",9764,"Uncharacterized protein KIAA0513","LowTmp-Mc"
"UMAD1","C9J7I0","ENSG00000219545",729852,"UBAP1-MVB12-associated (UMA)-domain containing protein 1","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"MLLT6","P55198","ENSG00000275851",4302,"Protein AF-17","LowTmp-Mc"
"B3GAT3","O94766","ENSG00000149541",26229,"Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3","LowTmp-Mc"
"SLC25A20","O43772","ENSG00000178537",788,"Mitochondrial carnitine/acylcarnitine carrier protein","LowTmp-Mc"
"PYGL","P06737","ENSG00000100504",5836,"Glycogen phosphorylase, liver form","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"KIAA1328","Q86T90","ENSG00000150477",57536,"Protein hinderin","LowTmp-Mc"
"SLAIN2","Q9P270","ENSG00000109171",57606,"SLAIN motif-containing protein 2","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"CNPY3","Q9BT09","ENSG00000137161",10695,"Protein canopy homolog 3","LowTmp-Mc"
"PREP","P48147","ENSG00000085377",5550,"Prolyl endopeptidase","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"CZIB","Q9NWV4","ENSG00000162384",54987,"CXXC motif containing zinc binding protein","LowTmp-Mc"
"ZNF69","Q9UC07","ENSG00000198429",7620,"Zinc finger protein 69","LowTmp-Mc"
"NSG1","P42857","ENSG00000168824",27065,"Neuronal vesicle trafficking-associated protein 1","LowTmp-Mc"
"RPGRIP1L","Q68CZ1","ENSG00000103494",23322,"Protein fantom","LowTmp-Mc"
"IGDCC3","Q8IVU1","ENSG00000174498",9543,"Immunoglobulin superfamily DCC subclass member 3","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"MFAP1","P55081","ENSG00000140259",4236,"Microfibrillar-associated protein 1","LowTmp-Mc"
"NDUFB2","O95178","ENSG00000090266",4708,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial","LowTmp-Mc"
"TNNT1","P13805","ENSG00000105048",7138,"Troponin T, slow skeletal muscle","LowTmp-Mc"
"YPEL4","Q96NS1","ENSG00000166793",219539,"Protein yippee-like 4","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"MITD1","Q8WV92","ENSG00000158411",129531,"MIT domain-containing protein 1","LowTmp-Mc"
"EHMT2","Q96KQ7","ENSG00000238134",10919,"Histone-lysine N-methyltransferase EHMT2","LowTmp-Mc"
"CEP44","Q9C0F1","ENSG00000164118",80817,"Centrosomal protein of 44 kDa","LowTmp-Mc"
"FAM71E1","Q6IPT2","ENSG00000142530",112703,"Protein FAM71E1","LowTmp-Mc"
"ABR","Q12979","ENSG00000276016",29,"Active breakpoint cluster region-related protein","LowTmp-Mc"
"FBH1","Q8NFZ0","ENSG00000134452",84893,"F-box DNA helicase 1","LowTmp-Mc"
"VPS35","Q96QK1","ENSG00000069329",55737,"Vacuolar protein sorting-associated protein 35","LowTmp-Mc"
"ESYT1","Q9BSJ8","ENSG00000139641",23344,"Extended synaptotagmin-1","LowTmp-Mc"
"ZNF234","Q14588","ENSG00000263002",10780,"Zinc finger protein 234","LowTmp-Mc"
"MYO7B","Q6PIF6","ENSG00000169994",4648,"Unconventional myosin-VIIb","LowTmp-Mc"
"MRE11","P49959","ENSG00000020922",4361,"Double-strand break repair protein MRE11","LowTmp-Mc"
"DUSP3","P51452","ENSG00000108861",1845,"Dual specificity protein phosphatase 3","LowTmp-Mc"
"NISCH","Q9Y2I1","ENSG00000010322",11188,"Nischarin","LowTmp-Mc"
"SLC4A2","P04920","ENSG00000164889",6522,"Anion exchange protein 2","LowTmp-Mc"
"AK2","P54819","ENSG00000004455",204,"Adenylate kinase 2, mitochondrial","LowTmp-Mc"
"HDAC1","Q13547","ENSG00000116478",3065,"Histone deacetylase 1","LowTmp-Mc"
"RABL3","Q5HYI8","ENSG00000144840",285282,"Rab-like protein 3","LowTmp-Mc"
"RNPEP","Q9H4A4","ENSG00000176393",6051,"Aminopeptidase B","LowTmp-Mc"
"ARAP3","Q8WWN8","ENSG00000120318",64411,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"BCORL1","Q5H9F3","ENSG00000085185",63035,"BCL-6 corepressor-like protein 1","LowTmp-Mc"
"MAP3K12","Q12852","ENSG00000139625",7786,"Mitogen-activated protein kinase kinase kinase 12","LowTmp-Mc"
"ZNF471","Q9BX82","ENSG00000196263",57573,"Zinc finger protein 471","LowTmp-Mc"
"THAP6","Q8TBB0","ENSG00000174796",152815,"THAP domain-containing protein 6","LowTmp-Mc"
"PSME3","P61289","ENSG00000131467",10197,"Proteasome activator complex subunit 3","LowTmp-Mc"
"DDT","P30046","ENSG00000275003",1652,"D-dopachrome decarboxylase","LowTmp-Mc"
"OSTM1","Q86WC4","ENSG00000081087",28962,"Osteopetrosis-associated transmembrane protein 1","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"CCKBR","P32239","ENSG00000110148",887,"Gastrin/cholecystokinin type B receptor","LowTmp-Mc"
"WDR6","Q9NNW5","ENSG00000178252",11180,"WD repeat-containing protein 6","LowTmp-Mc"
"STAC","Q99469","ENSG00000144681",6769,"SH3 and cysteine-rich domain-containing protein","LowTmp-Mc"
"GALNT16","Q8N428","ENSG00000100626",57452,"Polypeptide N-acetylgalactosaminyltransferase 16","LowTmp-Mc"
"PASK","Q96RG2","ENSG00000115687",23178,"PAS domain-containing serine/threonine-protein kinase","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"KIFC3","Q9BVG8","ENSG00000140859",3801,"Kinesin-like protein KIFC3","LowTmp-Mc"
"USB1","Q9BQ65","ENSG00000103005",79650,"U6 snRNA phosphodiesterase","LowTmp-Mc"
"GPC2","Q8N158","ENSG00000213420",221914,"Glypican-2","LowTmp-Mc"
"ZBTB46","Q86UZ6","ENSG00000130584",140685,"Zinc finger and BTB domain-containing protein 46","LowTmp-Mc"
"GULP1","Q9UBP9","ENSG00000144366",51454,"PTB domain-containing engulfment adapter protein 1","LowTmp-Mc"
"SLC30A3","Q99726","ENSG00000115194",7781,"Zinc transporter 3","LowTmp-Mc"
"CENPM","Q9NSP4","ENSG00000100162",79019,"Centromere protein M","LowTmp-Mc"
"PAQR8","Q8TEZ7","ENSG00000170915",85315,"Membrane progestin receptor beta","LowTmp-Mc"
"PPM1H","Q9ULR3","ENSG00000111110",57460,"Protein phosphatase 1H","LowTmp-Mc"
"HAX1","O00165","ENSG00000143575",10456,"HCLS1-associated protein X-1","LowTmp-Mc"
"OGT","O15294","ENSG00000147162",8473,"UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit","LowTmp-Mc"
"AP1M2","Q9Y6Q5","ENSG00000129354",10053,"AP-1 complex subunit mu-2","LowTmp-Mc"
"ATAT1","Q5SQI0","ENSG00000231257",79969,"Alpha-tubulin N-acetyltransferase 1","LowTmp-Mc"
"TLX2","O43763","ENSG00000115297",3196,"T-cell leukemia homeobox protein 2","LowTmp-Mc"
"ZNF337","Q9Y3M9","ENSG00000130684",26152,"Zinc finger protein 337","LowTmp-Mc"
"TMCO4","Q5TGY1","ENSG00000162542",255104,"Transmembrane and coiled-coil domain-containing protein 4","LowTmp-Mc"
"SHROOM4","Q9ULL8","ENSG00000158352",57477,"Protein Shroom4","LowTmp-Mc"
"PLOD2","O00469","ENSG00000152952",5352,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2","LowTmp-Mc"
"SNAP23","O00161","ENSG00000092531",8773,"Synaptosomal-associated protein 23","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"MRM1","Q6IN84","ENSG00000274853",79922,"rRNA methyltransferase 1, mitochondrial","LowTmp-Mc"
"TNFAIP8L1","Q8WVP5","ENSG00000185361",126282,"Tumor necrosis factor alpha-induced protein 8-like protein 1","LowTmp-Mc"
"RARRES1","P49788","ENSG00000118849",5918,"Retinoic acid receptor responder protein 1","LowTmp-Mc"
"MEN1","O00255","ENSG00000133895",4221,"Menin","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"NPNT","Q6UXI9","ENSG00000168743",255743,"Nephronectin","LowTmp-Mc"
"MAPK13","O15264","ENSG00000156711",5603,"Mitogen-activated protein kinase 13","LowTmp-Mc"
"KRBA2","Q6ZNG9","ENSG00000184619",124751,"KRAB-A domain-containing protein 2","LowTmp-Mc"
"MAST3","O60307","ENSG00000099308",23031,"Microtubule-associated serine/threonine-protein kinase 3","LowTmp-Mc"
"UBL7","Q96S82","ENSG00000288408",84993,"Ubiquitin-like protein 7","LowTmp-Mc"
"CRNKL1","Q9BZJ0","ENSG00000101343",51340,"Crooked neck-like protein 1","LowTmp-Mc"
"TMEM254","Q8TBM7","ENSG00000133678",80195,"Transmembrane protein 254","LowTmp-Mc"
"MTG1","Q9BT17","ENSG00000148824",92170,"Mitochondrial ribosome-associated GTPase 1","LowTmp-Mc"
"POGLUT1","Q8NBL1","ENSG00000163389",56983,"Protein O-glucosyltransferase 1","LowTmp-Mc"
"TFCP2","Q12800","ENSG00000135457",7024,"Alpha-globin transcription factor CP2","LowTmp-Mc"
"TM4SF5","O14894","ENSG00000142484",9032,"Transmembrane 4 L6 family member 5","LowTmp-Mc"
"TLCD4","Q96MV1","ENSG00000152078",148534,"TLC domain-containing protein 4","LowTmp-Mc"
"APIP","Q96GX9","ENSG00000149089",51074,"Methylthioribulose-1-phosphate dehydratase","LowTmp-Mc"
"MCEE","Q96PE7","ENSG00000124370",84693,"Methylmalonyl-CoA epimerase, mitochondrial","LowTmp-Mc"
"EXOSC3","Q9NQT5","ENSG00000107371",51010,"Exosome complex component RRP40","LowTmp-Mc"
"FADS2","O95864","ENSG00000134824",9415,"Acyl-CoA 6-desaturase","LowTmp-Mc"
"NRDC","O43847","ENSG00000078618",4898,"Nardilysin","LowTmp-Mc"
NA,NA,NA,NA,NA,"LowTmp-Mc"
"SERF2","P84101","ENSG00000140264",10169,"Small EDRK-rich factor 2","LowTmp-Mc"
"ZNF239","Q16600","ENSG00000196793",8187,"Zinc finger protein 239","LowTmp-Mc"
